Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
agr_buri_ITH0620_R1										22.08706566899768	39.46589616757369	30.161930050117025	1.082184795560516	1.37171359273473	0.1363499738886019	0.0
alo_rosa_LG1370_R1										34.19278507200885	34.38271804317226	19.682226150662412	0.8357467267394298	1.1420730055360069	0.17864126428159646	0.3753206127767953
cat_bet_MTR33144_R1										66.60340465464375	16.39561289165242	2.953978516792631	0.9538559985428723	1.5379326011055205	1.7532825278398878	0.5638460674687928
cat_bet_MTR33202_R1										61.75272275036428	24.45664951392437	3.9098669179559895	0.8325523900433932	1.4734438795296974	0.0	0.0
cat_bon_MTR16122_R1										64.04595456337054	19.604766164883372	3.6108815294233465	0.9395192018762641	1.9566427910506217	0.0	0.8293547129509273
cat_bon_MTR16123_R1										64.83125292226282	17.95353639785815	3.5710195775242703	0.9852090370351908	2.4876755851296606	0.0	0.6805700350909056
cat_bon_RPD024_R1										69.7027100318618	13.039507632566846	3.375857761020698	0.9867817189573698	1.147179622520119	0.0	0.7073806601604816
cat_cam_PEU322_R1										58.19882193526129	5.312342976671372	2.863759422856562	1.035708371603229	0.9877738707853988	0.0	0.0
cat_cam_PEU450_R1										63.79221483645843	20.756040352061362	4.207898131534969	0.8566931070655018	1.188808323294698	0.7825765311022214	0.0
cat_canav_MTR33152_R1										60.71600267765375	25.38127308585562	4.147009329154243	0.7499743481967386	1.6773434559378428	0.0	0.0
cat_catu_FRAG15P94_R1										56.50720572769941	28.31770685175036	5.082532175734576	1.0835216550080975	1.499672402952875	0.5005629464418465	0.0
cat_cond_MTR35005_R1										57.36870258140343	28.50153123049229	4.765040064437294	0.9431029241196428	1.8465713632268412	0.0	0.0
cat_cond_MTR35190_R1										61.35007930123088	24.853450601908197	3.95662869610602	0.9985526203684689	1.5002923707521205	0.0	0.0
cat_fazpar_RPD015_R1										65.38319026509951	19.928712386610634	3.6151840578286834	0.7507837307405187	1.7355875198996962	0.0	0.0
cat_igra_LAR009_R1										28.560617558643013	39.22348950139602	22.501275887633472	1.052141132066237	1.4773067813379832	0.16997385978492122	0.7914473471181257
cat_ilh_ABA45_R1										61.14946132586542	21.141883700134684	4.142891094775099	0.9707801870444746	1.342579553172296	0.2774947900634165	0.0
cat_itp_MTR33052_R1										69.94609045991741	13.392678271232846	3.1193809754720543	1.1164604720199518	0.7884535452417576	0.5190610718304157	0.0
cat_itp_MTR33053_R1										72.63820707157188	8.76393566718019	2.838997401097113	1.1905874864126083	1.0555095428090406	0.0	0.0
cat_itp_MTR33122_R1										63.55949118027413	21.791832379562248	4.037072511435987	1.1848067448382051	1.4741371496134306	0.0	0.0
cat_itp_MTR33140_R1										73.01619184016117	8.118953823046883	2.6945669440017794	1.0443610639492977	0.7298283893870178	0.0	0.0
cat_jag_PEU109_R1										62.98250939497899	22.429576516554263	4.117712600259127	1.0321156424517899	1.3620843768507942	0.19871634885114303	0.0
cat_jeq_MTR17108_R1										53.30510169556321	30.465953231057153	5.1594941598079815	0.8604422443304489	2.0136237157507275	0.0	1.9150950242800284
cat_jeq_MTR17172_R1										58.97817916838682	26.461399558921496	4.562530041037	1.094777298405092	1.8794478517960482	0.0	0.0
cat_jeq_MTR17377_R1										65.8839579378814	15.805034690059347	3.2323744471831977	1.1388260245650075	1.9699088036765278	1.9411753177816589	1.6588830904635272
cat_jibo_LG1377_concat_R1										26.305525968427734	38.40208506392177	23.45007297820874	1.032750541934139	1.396204421298196	0.5333226174355131	0.26416120454486075
cat_jibo_MTR18419_R1										31.199927194027623	38.752068583462844	19.71125767645806	1.1764119294201518	1.4256399893043834	0.7117564982927599	0.0
cat_lagjac_MTR33051_R1										64.0888236377618	16.905812750989988	3.2467093767637567	1.0063745591701019	1.493977355141393	0.9940114492642143	3.8030057904515644
cat_lagjac_MTR33134_R1										65.7884405268855	19.308316740313913	3.414123829348989	0.9973267454447772	1.718818445464657	0.2547324137551278	0.0
cat_lon_MTR16317_R1										71.13016760546441	10.832382116779074	2.9385480865720526	1.093445067491475	1.5076495402834063	0.0	0.0
cat_lon_MTR16340_R1										72.25655572208906	9.137301128624935	2.9421943363606653	1.0061814376700369	0.9355775761567384	0.0	0.0
cat_mig_MTR19889_R1										66.96826049576785	17.136101146137012	3.840362570748774	1.1224746852462288	1.8253767246003354	0.38558254727546853	0.0
cat_mig_RPD188_R1										57.86381324553498	25.543879630573823	4.907990031904376	1.3700122141901563	2.4190523061967424	0.23352049787705378	0.6957810577688529
cat_nilo_PEU271_R1										64.73096372836665	20.148475074137007	4.15364095379851	0.7560070973643519	1.7373054040028437	0.0	0.0
cat_oli_MD1779_R1										72.26186932311467	8.390357964296829	2.9945591615848297	0.9091743371266496	1.4306020163160678	0.0	0.0
cat_rem_MTR19915_R1										59.59859130744432	25.75934168440346	4.623437995131012	1.3792906034070762	1.8944305953604992	0.21023205651424268	0.0
cat_rem_RPD128_R1										59.91120860305863	24.332367759425434	4.932424500361457	1.1461320102290828	1.9778876872425293	0.20200181206874784	0.0
cat_taquara_MTR33065_R1										61.42993458715156	24.73971957942577	4.162039663069821	1.0611727069407806	1.4720874748542836	0.0	0.0
cat_taquara_MTR33145_R1										65.23039429307765	18.093779785769822	3.3510895083610768	1.031708610322015	2.1289123227372144	0.0	0.5691092637003112
cat_tei_MRT5815_R1										70.55920103975228	11.66467460846409	3.1311045243853015	1.0941846026458455	1.2783227254949414	0.0	0.0
