cat_canav_MTR33152_R1	0.0	0.0	0.0	0.0	0.5	2.0	1.5	2.0	5.0	9.0	12.0	12.0	13.5	16.0	21.0	33.0	54.5	141.5	281.0	306.0	440.0	793.5	972.0	1266.5	2008.5	2768.5	3830.0	5886.5	8357.0	10913.0	14402.0	20052.0	26202.0	28798.0	33277.0	42806.0	52943.5	65775.0	79754.0	93389.5	106802.5	119403.0	130469.0	135668.0	136389.0	138017.0	135517.0	128556.0	124310.5	119136.0	112425.0	102006.5	90970.0	82028.5	72912.0	66809.5	64449.0	60440.0	54531.5	50374.0	47093.5	41458.5	34937.5	31018.5	28594.5	26186.0	22339.0	20487.0	20281.5	18487.0	15234.0	11483.0	9275.0	8287.0	6275.0	3824.5	2115.0	1360.0	1009.0	880.0	615.0	420.0	294.0	212.5	168.0	122.5	89.0	59.5	37.0	26.0	21.0	14.0	11.5	7.0	2.0	1.0	1.0	1.5	1.0	0.0	0.0
cat_catu_FRAG15P94_R1	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5	4.0	8.5	12.5	16.0	18.5	23.0	30.0	46.0	67.5	144.0	243.5	325.0	565.5	969.5	1181.0	1384.5	1850.0	2798.0	4164.5	6190.5	8596.5	11892.0	15263.5	20826.0	28529.5	31807.0	35669.0	45166.0	57479.0	70496.5	84729.5	103031.0	116408.0	128487.0	143569.0	150938.5	152336.0	150112.5	146120.0	140698.5	135146.5	131087.0	125509.0	114781.0	103663.5	92125.5	83424.5	77620.0	72786.0	70021.0	64114.0	58028.0	52104.0	44272.0	36178.0	33574.5	32862.0	29227.0	24942.5	22942.0	21714.5	19165.0	15869.5	12736.5	10621.0	9596.5	7535.5	4244.5	2330.5	1430.0	1145.0	1022.0	722.0	441.0	292.0	210.5	154.0	120.0	81.0	46.0	33.5	31.0	24.5	15.0	10.5	7.5	6.5	4.5	1.5	1.5	1.0	0.0	0.0
cat_cond_MTR35005_R1	0.0	0.0	0.0	0.0	1.0	1.5	0.5	3.0	8.0	9.0	10.0	12.0	13.0	19.5	27.0	33.5	82.0	177.5	219.5	248.0	517.5	945.5	1142.0	1371.5	1978.5	3106.0	4652.5	6810.0	9339.0	13027.5	16781.5	22253.0	30441.0	34391.0	37564.0	47091.5	58866.0	71928.5	86138.5	103975.5	119305.5	131345.0	144667.5	151908.5	153806.0	150844.5	145060.5	140192.5	134780.5	127419.5	120280.0	111469.0	100816.5	88247.5	77618.0	70312.0	66053.0	62943.0	58027.5	53128.0	49243.5	43271.0	35803.0	33264.5	30896.0	26901.0	23126.0	21230.0	20506.0	18434.5	15053.5	11725.5	9876.0	8258.0	5730.0	3267.5	2008.0	1356.5	967.0	891.5	650.0	422.0	327.5	229.0	153.5	121.0	86.0	62.0	38.0	26.0	24.0	17.0	9.0	3.5	2.0	2.0	1.0	1.0	0.5	0.0	0.0
cat_cond_MTR35190_R1	0.0	0.0	0.0	0.0	0.0	0.5	0.5	0.0	3.5	9.0	11.5	12.0	11.0	18.5	29.0	39.5	61.5	158.0	234.0	254.0	448.0	888.0	1161.0	1375.5	2043.0	2980.0	4023.0	6113.0	8559.5	11928.0	15738.0	20753.0	28029.0	31647.0	36079.5	45598.0	55719.5	66621.0	80610.5	98014.5	111832.5	122795.5	133604.5	140675.0	143362.0	140820.0	134298.0	128647.5	124685.5	118090.0	109721.0	101991.5	92225.0	80858.5	72715.0	65190.5	60545.0	57241.5	52102.5	47547.0	44481.0	40131.0	33016.0	30015.0	27996.5	24228.0	21433.0	20278.0	19048.0	16957.0	14235.0	10940.5	8898.0	7391.5	5344.5	3325.0	2158.0	1394.0	927.0	787.0	540.5	365.0	285.0	233.0	155.0	119.0	104.5	70.0	50.0	49.0	33.0	16.0	9.0	4.5	4.5	2.0	0.5	0.5	0.5	0.0	0.0
cat_fazpar_RPD015_R1	0.0	0.0	0.0	0.5	1.5	1.0	0.0	0.5	2.5	4.5	10.5	16.0	12.5	14.0	22.5	37.5	58.0	129.0	190.0	194.5	358.5	767.0	1017.0	1109.0	1558.5	2458.5	3599.5	5170.0	7068.0	9722.5	12692.0	17145.5	22881.0	25404.0	29359.0	37730.5	46315.0	57158.0	69003.5	81397.0	94018.5	106134.0	115464.5	117669.5	117261.0	118329.0	119049.0	115497.0	110155.0	104836.0	99290.0	92679.0	84090.0	74441.5	66476.5	60271.5	56726.0	54311.5	49495.5	44766.5	41721.5	37063.0	31646.5	28596.5	25373.5	22653.5	20025.5	18469.0	18048.0	15870.5	12817.5	10706.0	8984.0	7402.0	5483.0	3240.5	1800.0	1094.0	830.0	742.5	504.0	330.5	260.0	195.0	146.5	92.5	61.5	50.5	33.5	19.0	15.0	10.0	6.0	2.5	2.0	1.0	0.5	0.5	0.0	0.0	0.0
cat_igra_LAR009_R1	0.0	0.5	0.5	0.0	0.5	0.5	0.0	0.0	0.5	4.0	12.5	25.5	42.5	52.0	134.5	287.0	383.0	588.5	1271.0	2276.5	2779.0	3265.5	5059.5	7418.0	10917.0	16020.5	21245.0	23814.0	26700.0	38641.0	50351.5	61626.0	79678.0	89111.0	99409.5	120638.0	142484.0	172562.5	197044.5	219105.5	235847.0	240817.5	246686.5	245188.0	237792.5	226532.0	218832.0	217394.0	211969.5	200918.5	185745.0	164867.0	144992.5	136449.0	135186.5	126198.5	115381.0	110800.0	98415.0	85966.5	84414.0	76455.5	64454.5	58282.5	56181.5	51144.0	43983.5	41889.0	39203.5	33920.0	28457.0	22334.5	17934.0	16791.0	17124.0	12377.5	5184.0	2409.5	1449.5	1032.5	915.0	745.5	475.0	308.5	182.5	112.5	86.0	69.0	61.0	52.0	48.5	32.0	19.5	21.0	17.5	15.0	10.0	4.0	2.0	0.0	0.0
cat_ilh_ABA45_R1	0.0	0.0	0.0	0.0	0.5	1.0	1.5	6.5	7.5	6.0	9.5	11.0	13.0	20.5	32.5	42.5	55.0	141.0	217.0	298.5	506.5	780.5	929.0	1299.0	1934.5	2791.5	4174.5	5926.0	8366.0	11662.5	14841.0	20001.5	26533.0	29266.0	33640.5	43580.0	54144.5	64810.5	77548.5	93495.5	105855.0	117646.0	130088.0	135654.5	137086.0	135399.0	131628.5	128427.5	124600.0	118449.5	109971.5	101127.0	92066.0	80864.5	73137.0	67636.5	63916.0	60642.5	54513.0	50549.5	49112.0	45350.5	39867.0	37007.5	34785.5	31676.0	28090.0	26199.0	24808.5	22365.5	19052.5	14740.0	12267.0	10223.0	7119.5	4102.0	2318.0	1600.5	1130.0	992.0	670.5	416.5	310.5	240.0	162.5	108.5	83.0	57.0	45.0	45.0	35.5	17.5	9.0	8.0	6.5	5.0	3.0	1.5	0.5	0.0	0.0
cat_itp_MTR33052_R1	0.0	0.0	0.0	0.0	0.5	0.5	0.5	2.5	4.5	5.5	6.0	6.0	10.0	16.0	16.5	22.5	52.5	91.0	124.0	172.5	352.5	599.5	698.0	890.5	1322.0	1847.5	2551.5	3819.0	5698.5	7668.0	10154.0	14477.5	18658.5	20062.0	23457.0	29965.0	37505.5	45719.5	54977.0	66328.0	75954.5	83864.5	92144.5	96552.5	96844.0	95405.5	92664.0	88392.0	84727.5	80978.0	75391.0	69948.5	63554.5	55814.0	49345.0	44611.5	42091.0	40236.0	35479.0	32719.5	31368.0	26609.5	21993.5	19829.0	18307.5	16291.5	14289.0	13594.0	13287.5	11705.5	9638.0	7856.0	6051.0	5117.0	4125.5	2491.5	1456.0	965.0	748.0	641.0	431.0	283.5	209.0	152.5	116.5	101.0	73.0	39.5	21.5	15.0	18.0	16.0	7.5	4.0	2.5	1.5	1.5	0.5	0.0	0.0	0.0
cat_itp_MTR33053_R1	0.0	0.0	0.0	0.0	0.0	1.0	2.0	3.0	2.5	3.0	7.5	10.0	10.5	12.5	17.5	20.5	33.0	71.0	128.0	140.5	202.5	483.5	683.0	792.0	1283.0	1918.5	2497.0	3599.5	5170.5	6860.5	8917.5	12044.0	15587.0	17164.0	20127.5	25505.0	31719.5	38448.5	46180.5	55405.5	62277.5	69573.5	76741.0	79444.5	79826.0	79527.0	77540.5	76703.0	74410.5	68762.5	64152.5	58630.5	53058.0	47001.0	41385.5	37945.5	36219.0	34076.5	30483.0	28092.0	26465.5	23457.5	19828.5	17274.0	15595.5	14240.0	12185.0	11054.0	11306.0	10238.0	8197.5	6349.5	5049.0	4458.5	3332.5	1977.5	1211.0	857.0	623.0	505.0	302.5	200.0	165.5	123.0	78.0	49.5	38.0	26.5	16.0	15.0	13.0	7.5	4.0	2.5	1.5	1.0	0.0	0.0	0.0	0.0	0.0
cat_itp_MTR33122_R1	0.0	0.0	0.0	0.0	0.0	0.5	1.0	1.0	3.0	5.0	9.5	14.0	16.0	17.5	23.5	34.5	61.0	133.5	203.5	277.0	465.0	855.0	1111.0	1238.5	1895.0	2661.5	3604.0	5242.5	7670.0	10223.5	13117.0	18200.0	23501.5	25554.0	29060.5	37450.0	47768.0	58614.0	70772.5	84705.5	96512.5	108210.0	120312.0	124466.5	123595.0	124946.5	122661.0	117237.0	114314.0	109076.5	101450.5	93009.0	84687.5	74877.5	66590.5	60740.0	56771.0	54307.0	49682.5	45049.5	42368.5	38274.0	32406.5	29513.5	27259.5	23927.0	20174.0	18411.0	18613.0	17183.0	13844.0	10422.5	8200.5	7099.5	5523.0	3391.5	1862.0	1225.0	969.0	791.5	523.0	384.5	280.0	193.0	139.5	100.0	79.0	63.0	39.5	27.0	22.5	15.0	8.5	5.0	4.5	3.0	1.0	0.0	0.0	0.0	0.0
